"ct10_id","muni","numRooms","rentcount","meanrent","medrent"
25001010600,"CHATHAM",2,1,2500,2500
25005600100,"EASTON",1,1,3100,3100
25005600100,"EASTON",2,5,2550,2500
25005600100,"EASTON",3,1,5900,5900
25005600202,"EASTON",0,2,500,500
25005600202,"EASTON",2,2,2050,2050
25005600203,"EASTON",1,4,3122,3388
25005600203,"EASTON",2,2,4370,4370
25005600203,"EASTON",3,4,5011,4764
25005610100,"MANSFIELD",0,1,1800,1800
25005610100,"MANSFIELD",1,3,2225,2100
25005610100,"MANSFIELD",2,7,2241,2100
25005610100,"MANSFIELD",3,3,3300,3600
25005610202,"MANSFIELD",4,1,3891,3891
25005610203,"MANSFIELD",1,1,1840,1840
25005610203,"MANSFIELD",3,2,3522,3522
25005610203,"MANSFIELD",4,2,5400,5400
25005610204,"MANSFIELD",2,2,1950,1950
25005610204,"MANSFIELD",4,1,9908,9908
25005612100,"RAYNHAM",1,3,2433,2400
25005613700,"TAUNTON",3,1,2300,2300
25005613800,"TAUNTON",0,2,1575,1575
25005613800,"TAUNTON",1,4,1688,1662
25005613800,"TAUNTON",2,1,2075,2075
25005613800,"TAUNTON",3,1,2100,2100
25005630101,"NORTH ATTLEBOROUGH",3,3,2467,2500
25005630102,"NORTH ATTLEBOROUGH",1,3,1583,1500
25005630102,"NORTH ATTLEBOROUGH",2,1,2350,2350
25005630400,"NORTH ATTLEBOROUGH",3,1,2550,2550
25005631300,"ATTLEBORO",2,3,2195,2195
25005631300,"ATTLEBORO",3,1,2600,2600
25005631400,"ATTLEBORO",3,2,2350,2350
25005631500,"ATTLEBORO",2,4,2162,2175
25005632100,"SEEKONK",2,1,2450,2450
25005642300,"FALL RIVER",2,1,1600,1600
25005985600,"EASTON",0,1,3898,3898
25005985600,"EASTON",2,3,3928,3100
25009201100,"NAHANT",1,2,2062,2062
25009201100,"NAHANT",2,1,2850,2850
25009202101,"SWAMPSCOTT",2,1,2750,2750
25009202102,"SWAMPSCOTT",1,1,1650,1650
25009202102,"SWAMPSCOTT",2,4,3520,3375
25009202102,"SWAMPSCOTT",3,4,4032,3225
25009202200,"SWAMPSCOTT",1,1,1750,1750
25009202200,"SWAMPSCOTT",2,2,5299,5299
25009203200,"MARBLEHEAD",1,1,2200,2200
25009203200,"MARBLEHEAD",2,1,4500,4500
25009203200,"MARBLEHEAD",3,1,2200,2200
25009203301,"MARBLEHEAD",1,2,2050,2050
25009203302,"MARBLEHEAD",1,2,1975,1975
25009203302,"MARBLEHEAD",2,6,3208,3525
25009203302,"MARBLEHEAD",3,1,4200,4200
25009204101,"SALEM",1,1,2000,2000
25009204101,"SALEM",2,6,2771,2700
25009204101,"SALEM",3,1,2800,2800
25009204200,"SALEM",0,4,1788,1825
25009204200,"SALEM",1,69,2179,2175
25009204200,"SALEM",2,27,2704,2650
25009204200,"SALEM",3,10,3076,2988
25009204200,"SALEM",4,2,750,750
25009204300,"SALEM",0,2,2200,2200
25009204300,"SALEM",1,2,2512,2512
25009204300,"SALEM",2,10,3102,2988
25009204300,"SALEM",3,3,3517,3800
25009204300,"SALEM",4,2,3600,3600
25009204400,"SALEM",0,1,1575,1575
25009204400,"SALEM",1,1,2195,2195
25009204400,"SALEM",2,1,2675,2675
25009204500,"SALEM",2,2,2248,2248
25009204600,"SALEM",2,3,2700,2600
25009204600,"SALEM",3,3,2600,2300
25009204600,"SALEM",4,1,3750,3750
25009204701,"SALEM",1,1,1700,1700
25009204701,"SALEM",2,6,2517,2550
25009204701,"SALEM",3,4,3238,2950
25009204702,"SALEM",1,4,2109,2024
25009204702,"SALEM",2,20,2684,2555
25009204702,"SALEM",3,2,2700,2700
25009205100,"LYNN",2,1,2500,2500
25009205200,"LYNN",1,1,1800,1800
25009205300,"LYNN",2,2,2675,2675
25009205300,"LYNN",3,3,3767,3600
25009205400,"LYNN",3,1,3200,3200
25009205500,"LYNN",1,3,1967,1950
25009205500,"LYNN",2,1,2500,2500
25009205500,"LYNN",3,1,3000,3000
25009205600,"LYNN",1,1,2450,2450
25009205600,"LYNN",2,3,3268,3280
25009205600,"LYNN",4,1,3155,3155
25009205700,"LYNN",2,1,2000,2000
25009205800,"LYNN",2,1,2750,2750
25009205800,"LYNN",3,1,2850,2850
25009205900,"LYNN",3,1,3100,3100
25009206000,"LYNN",1,1,1970,1970
25009206000,"LYNN",3,2,3100,3100
25009206000,"LYNN",4,1,3500,3500
25009206100,"LYNN",0,1,995,995
25009206100,"LYNN",1,1,1850,1850
25009206200,"LYNN",1,1,2100,2100
25009206200,"LYNN",2,1,2250,2250
25009206200,"LYNN",3,3,3000,3000
25009206300,"LYNN",0,1,1400,1400
25009206300,"LYNN",1,2,1675,1675
25009206300,"LYNN",2,8,2349,2250
25009206300,"LYNN",3,10,3154,3000
25009206300,"LYNN",4,1,3550,3550
25009206300,"LYNN",5,1,3500,3500
25009206300,"LYNN",6,1,4600,4600
25009206400,"LYNN",2,8,2321,2350
25009206400,"LYNN",3,3,3025,3000
25009206500,"LYNN",2,1,2350,2350
25009206500,"LYNN",3,3,2900,2900
25009206600,"LYNN",0,1,2025,2025
25009206600,"LYNN",1,1,2100,2100
25009206600,"LYNN",2,7,2486,2450
25009206600,"LYNN",3,3,2733,2800
25009206700,"LYNN",0,2,1790,1790
25009206700,"LYNN",1,6,2067,2100
25009206700,"LYNN",2,3,2493,2500
25009206700,"LYNN",3,4,3081,3062
25009206700,"LYNN",6,1,4600,4600
25009206800,"LYNN",0,12,1676,1675
25009206800,"LYNN",1,27,2185,2200
25009206800,"LYNN",2,3,2392,2425
25009206800,"LYNN",3,4,3050,3000
25009206900,"LYNN",1,4,1918,1792
25009206900,"LYNN",2,1,2745,2745
25009206900,"LYNN",3,4,3350,3100
25009207000,"LYNN",0,5,1171,895
25009207000,"LYNN",1,2,1625,1625
25009207000,"LYNN",2,2,2575,2575
25009207000,"LYNN",3,2,3050,3050
25009207000,"LYNN",4,1,3600,3600
25009207100,"LYNN",1,2,1525,1525
25009207200,"LYNN",4,1,3650,3650
25009208101,"SAUGUS",1,2,1650,1650
25009208101,"SAUGUS",2,1,2400,2400
25009208101,"SAUGUS",6,1,4500,4500
25009208102,"SAUGUS",1,1,1950,1950
25009208102,"SAUGUS",2,1,2500,2500
25009208102,"SAUGUS",3,1,2800,2800
25009208200,"SAUGUS",0,1,1500,1500
25009208200,"SAUGUS",1,2,1750,1750
25009208200,"SAUGUS",2,1,2100,2100
25009208200,"SAUGUS",3,2,3150,3150
25009208200,"SAUGUS",4,2,3650,3650
25009208300,"SAUGUS",2,1,2620,2620
25009208400,"SAUGUS",1,1,3605,3605
25009208400,"SAUGUS",2,3,3544,3767
25009208400,"SAUGUS",3,2,3800,3800
25009209100,"LYNNFIELD",4,1,5200,5200
25009210100,"PEABODY",4,2,4000,4000
25009210300,"PEABODY",1,13,2431,2496
25009210300,"PEABODY",2,20,3069,3021
25009210300,"PEABODY",3,6,3063,2850
25009210300,"PEABODY",4,1,4000,4000
25009210400,"PEABODY",1,3,1800,1800
25009210500,"PEABODY",1,2,1808,1808
25009210500,"PEABODY",2,4,2446,2122
25009210700,"PEABODY",0,2,1650,1650
25009210700,"PEABODY",1,5,1890,1800
25009210700,"PEABODY",2,1,2300,2300
25009210800,"PEABODY",0,1,995,995
25009210800,"PEABODY",1,5,1900,1899
25009210800,"PEABODY",2,3,2650,2750
25009210900,"PEABODY",2,1,2100,2100
25009210900,"PEABODY",3,1,3000,3000
25009211100,"DANVERS",1,1,2350,2350
25009211100,"DANVERS",2,3,2533,2500
25009211100,"DANVERS",3,3,3500,3500
25009211200,"DANVERS",1,3,1867,1800
25009211200,"DANVERS",2,8,2436,2300
25009211200,"DANVERS",3,2,3225,3225
25009211300,"DANVERS",1,1,1500,1500
25009211300,"DANVERS",3,1,3750,3750
25009211401,"DANVERS",1,2,2100,2100
25009211401,"DANVERS",2,1,2375,2375
25009211402,"DANVERS",1,2,2524,2524
25009211402,"DANVERS",2,1,2600,2600
25009212100,"MIDDLETON",2,3,2883,3250
25009212100,"MIDDLETON",4,1,3850,3850
25009214100,"TOPSFIELD",5,1,7789,7789
25009215101,"HAMILTON",2,2,2500,2500
25009217100,"BEVERLY",2,3,3110,2900
25009217202,"BEVERLY",0,1,2200,2200
25009217202,"BEVERLY",2,1,2575,2575
25009217202,"BEVERLY",3,1,10000,10000
25009217300,"BEVERLY",1,7,2008,1990
